ganho    it
8874 1
8878 10
8898 11
8944 20
8946 26
8951 30
8966 46
8971 47
8973 50
9029 70
9030 75
9057 76
9066 77
9100 81
9143 93
9183 97
9232 98
9250 136
9299 138
9306 139
9322 140
9357 141
9394 143
9459 144
9518 150
9533 151
9579 152
9605 160
9634 162
9635 164
9646 165
9653 173
9657 184
9661 186
9678 189
9705 196
9728 261
9737 262
9758 285
9778 299
9796 300
9819 302
9842 309
9844 310
9848 341
9862 386
9880 407
9882 433
9891 439
9905 447
9915 463
9925 581
9934 594
9937 599
